77448,AH 308,MIMESIS: THEORY & PRACTICE,4,T,1400,1640,MOREY,524,3,DURO P,
79156,AH 316,PHOTOGRAPHY & THE EVERYDAY,4,R,1400,1640,MOREY,524,No Cap,LEWIS J,
10442,AH 391,INDEPENDENT STUDY,0,TBA,,,,,No Cap,,
10500,AH 391W,INDEPENDENT STUDY,0,TBA,,,,,No Cap,,
10511,AH 392,PRACTICUM,8,TBA,,,,,No Cap,,
10525,AH 393,ART HISTORY HONORS PROJECT,0,TBA,,,,,No Cap,,
10533,AH 394,INTERNSHIPS,8,TBA,,,,,No Cap,,
10544,AH 396,MUSEUM INTERNSHIP,4,TBA,,,,,No Cap,,
10557,AH 397,EUROPEAN ARTS INTERNSHIP,8,TBA,,,,,No Cap,,
76780,AH 402,CHINESE FILM,4,MW,1230,1345,LCHAS,141,No Cap,SCHAEFER W,
10579,AH 424,HISTORY OF PHOTOGRAPHY II,4,TR,940,1055,MOREY,524,No Cap,LEWIS J,
10582,AH 425,PHOTOGRAPHIC PRESERVATION II,4,W,900,1200,GEH,,No Cap,ARNONE O,
82402,AH 439,DOCUMENTARY FILM AND MEDIA: THEORY AND PRACTICE,4,WF,1025,1140,LCHAS,141,No Cap,MIDDLETON J,
82891,AH 461,BUFFALO RESEARCH PROJECT: A CITY & ITS CONTEXT,3,M,900,1140,MOREY,524,No Cap,CHRISTENSEN P,
10632,AH 491,INDEPENDENT STUDY,0,TBA,,,,,No Cap,,
10655,AH 493,SPECIAL TOPICS,0,TBA,,,,,No Cap,,
77456,AH 508,MIMESIS: THEORY & PRACTICE,4,T,1400,1640,MOREY,524,No Cap,DURO P,
79167,AH 516,PHOTOGRAPHY & THE EVERYDAY,4,R,1400,1640,MOREY,524,No Cap,LEWIS J,
10693,AH 586V,YORK WUN PHD VISITING STUDNT,0,TBA,,,,,No Cap,,
10706,AH 591,INDEPENDENT STUDY,0,TBA,,,,,No Cap,,
10719,AH 594,PHD RESEARCH INTERNSHIP,0,TBA,,,,,No Cap,,
10722,AH 595,PHD RESEARCH / VIS&CULT STDS,0,TBA,,,,,No Cap,,
10788,AH 595A,PHD RESEARCH IN ABSENTIA,0,TBA,,,,,No Cap,,
10797,AH 595B,PHD RSRCH IN ABSENTIA ABROAD,0,TBA,,,,,No Cap,,
10808,AH 899,MASTER'S THESIS,0,TBA,,,,,No Cap,,
10813,AH 985,LEAVE OF ABSENCE,0,TBA,,,,,No Cap,,
10824,AH 986V,FULL TIME VISITING STUDENT,0,TBA,,,,,No Cap,,
10831,AH 995,CONT OF DOCTORAL ENROLLMENT,0,TBA,,,,,No Cap,,
10845,AH 997,DOCTORAL DISSERTATION,0,TBA,,,,,No Cap,,
10877,AH 997A,DOCT DISSERTATN IN ABSENTIA,0,TBA,,,,,No Cap,,
10886,AH 997B,DOC DISS IN-ABSENTIA ABROAD,0,TBA,,,,,No Cap,,
10890,AH 999,DOCTORAL DISSERTATION,0,TBA,,,,,No Cap,,
10940,AH 999A,DOCT DISSERTATN IN ABSENTIA,0,TBA,,,,,No Cap,,
10974,AH 999B,DOC DISS IN-ABSENTIA ABROAD,0,TBA,,,,,No Cap,,
10995,ANT 101,CULTURAL ANTHROPOLOGY,4,MWF,1025,1115,DEWEY,2110D,40,OSBURG J,
11007,ANT 110,INTRODUCTION TO LINGUISTIC ANALYSIS,4,TR,1400,1515,GAVET,310,No Cap,ABTAHIAN M,
11015,ANT 110,INTRODUCTION TO LINGUISTIC ANALYSIS,4,MW,1025,1140,MOREY,525,No Cap,ARMOSKAITE S,
80138,ANT 121,THE CITY: CONTESTED SPACES,4,MW,1525,1640,HARK,115,No Cap,SEARLE L; CHRISTENSEN P; SMOLLER L,
11039,ANT 201,THEORY AND METHOD IN ANTHROPOLOGY,4,MW,1400,1515,DEWEY,2110D,25,OSBURG J,
79354,ANT 202,MODERN SOCIAL THEORY: KEY TEXTS & ISSUES,4,MW,1025,1140,LCHAS,163,25,GIBSON TTR,
11050,ANT 215,PUBLIC HEALTH ANTHROPOLOGY,4,TR,1105,1220,GRGEN,108,No Cap,CHIN N,
11068,ANT 216,MEDICAL ANTHROPOLOGY,4,MW,1815,1930,MOREY,502,No Cap,METCALF L,
79407,ANT 232,THE INDIGENOUS PEOPLES MOVEMENT,4,MW,1525,1640,HARK,210,25,GIBSON T,
80471,ANT 235,THE BLACK BODY: INTERSECTING INTIMACIES,4,MW,1230,1345,LATT,441,No Cap,MARINER KTR,
11096,ANT 265,GLOBAL HEALTH,4,TR,1400,1515,HYLAN,201,No Cap,CHIN N,
82538,ANT 269,EARLY CIVILIZATION AFRICA,4,TR,1650,1805,MEL,209,No Cap,,
82569,ANT 273,ARCHAEOLOGY OF AFRICA,4,TR,1400,1515,LCHAS,163,No Cap,,
83757,ANT 283,ANTHROPOLOGY OF THE ENVIRONMENT,4,TR,1230,1345,LATT,441,20,FESER A,
11117,ANT 310K,SOCIAL NETWORK THEORY & ENTREPRENEURIAL ACTIVITY IN SILICON VALLEY I,6,M,1650,1930,LATT,441,No Cap,SMITH T,
11126,ANT 310K,SOCIAL NET THEORY&ENTREP-LAB,LAB,T,1650,1930,LATT,441,No Cap,,
11134,ANT 311K,SOCIAL NETWORK THEORY & ENTREPRENEURIAL ACTIVITY IN SILICON VALLEY II,6,M,1650,1930,LATT,441,No Cap,SMITH T,
11143,ANT 311K,SOC NETWRK THRY&ENTR ACT LAB,LAB,T,1650,1930,LATT,441,No Cap,,
79363,ANT 312,ADV HOME AND HEGEMONY: CULTURES OF DOMESTICITY,4,R,1400,1640,LATT,441,15,SEARLE L,
11151,ANT 390,SUPERVISED TEACHING,0,TBA,,,,,No Cap,,
11178,ANT 391,INDEPENDENT STUDY,0,TBA,,,,,No Cap,,
11219,ANT 392,PRACTICUM IN ANTHROPOLOGY,0,TBA,,,,,No Cap,,
11222,ANT 393,HONORS RESEARCH & ANTHROPOLOGY,0,TBA,,,,,No Cap,,
11241,ANT 393W,SENIOR PROJECT,0,TBA,,,,,No Cap,,
11253,ANT 394,INTERNSHIP,4,TBA,,,,,No Cap,,
11264,ANT 416,MEDICAL ANTHROPOLOGY,4,MW,1815,1930,MOREY,502,No Cap,METCALF L,
11288,ANT 491,MASTER'S READINGS IN ANTHRO,0,TBA,,,,,No Cap,,
11297,ANT 493,MASTER'S ESSAY,0,TBA,,,,,No Cap,,
11308,ANT 495,MASTER'S RESEARCH IN ANTHRO,0,TBA,,,,,No Cap,,
11324,ANT 591,PHD READINGS IN ANTHROPOLOGY,0,TBA,,,,,No Cap,,
11345,ANT 592,GRAD TEACHING ASSISTANTSHIP,0,TBA,,,,,No Cap,,
11359,ANT 595,PHD RESEARCH IN ANTHROPOLOGY,0,TBA,,,,,No Cap,,
11362,ANT 595A,PHD RESEARCH IN ABSENTIA,0,TBA,,,,,No Cap,,
11377,ANT 895,CONT OF MASTER'S ENROLLMENT,0,TBA,,,,,No Cap,,
11386,ANT 899,MASTER'S DISSERTATION,0,TBA,,,,,No Cap,,
11390,ANT 985,LEAVE OF ABSENCE,0,TBA,,,,,No Cap,,
11405,ANT 986V,FULL TIME VISITING STUDENT,0,TBA,,,,,No Cap,,
11418,ANT 995,CONT OF DOCTORAL ENROLLMENT,0,TBA,,,,,No Cap,,
11420,ANT 999,DOCTORAL DISSERTATION,0,TBA,,,,,No Cap,,
11436,ANT 999A,DOCT DISSERTATN IN ABSENTIA,0,TBA,,,,,No Cap,,
11447,ARA 102,ELEMENTARY ARABIC II,4,MWF,900,950,MEL,218,45,ALFATLI A,
11454,ARA 102,ELEMENTARY ARABIC II REC,REC,TBA,,,,,No Cap,ALFATLI A,
11463,ARA 104,INTERMEDIATE ARABIC II,4,MWF,1025,1115,LATT,413,20,ALFATLI A,
76492,ARA 204,ADV ARABIC PROSE SEM I,4,MWF,1150,1240,LCHAS,161,No Cap,BEAUMONT D,
11491,ARA 390,SUPERVISED TEACHING,0,TBA,,,,,No Cap,,
11528,ARA 391,INDEPENDENT STUDY,0,TBA,,,,,No Cap,,
11549,ASL 101,BEGINNING AMERICAN SIGN LANGUAGE I,4,MTR,1815,1905,LATT,110,15,MILLER H,
11555,ASL 101,BEGINNING AMERICAN SIGN LANGUAGE I,4,MTR,1650,1740,LATT,110,15,MILLER H,
11561,ASL 101,BEGINNING AMERICAN SIGN LANGUAGE I,4,MWF,800,850,LATT,110,15,KISELGOF D,
11576,ASL 101,BEGINNING AMERICAN SIGN LANGUAGE I,4,MWF,900,950,LATT,110,15,KISELGOF D,
11587,ASL 102,BEGINNING AMERICAN SIGN LANGUAGE II,4,MWF,1025,1115,LATT,110,15,KISELGOF D,
11593,ASL 102,BEGINNING AMERICAN SIGN LANGUAGE II,4,MWF,1150,1240,LATT,110,15,KISELGOF D,
